ticker,entry,exit,shares,opened,closed,reason,pnl,ret
AON,190.98,187.16,2,2019-08-13,2019-08-14,thesis,-9.639999999999986,-0.020002094460152886
MCD,199.24001,214.66,2,2019-05-30,2019-08-23,trail,28.83997999999997,0.07739404349558088
TEAM,126.43,129.83,3,2019-06-05,2019-09-04,thesis,8.200000000000017,0.026892351498853273
NUGT,183.75,190.0,2,2019-08-15,2019-09-05,trail,12.5,0.03401360544217691
WEC,84.25,93.13,5,2019-07-02,2019-09-06,trail,42.39999999999998,0.10540059347181008
TMF,222.89999,310.70001,2,2019-05-23,2019-09-09,trail,175.60004000000004,0.3938987166396912
PODD,116.61,147.38,4,2019-06-27,2019-09-09,trail,121.07999999999998,0.2638710230683474
KRC,78.65,76.95,6,2019-08-08,2019-09-10,thesis,-12.200000000000017,-0.021614748887476165
EPAM,172.59,183.73,2,2019-05-31,2019-09-11,thesis,20.279999999999973,0.06454603395329972
SLV,15.19,16.31,31,2019-08-02,2019-09-13,trail,34.71999999999998,0.07373271889400912
PJT,42.22,39.33,11,2019-09-18,2019-10-02,thesis,-33.790000000000006,-0.06845097110374232
AON,191.50999,187.24001,2,2019-08-16,2019-10-03,thesis,-10.539959999999951,-0.02229638255424682
VRSK,158.64999,154.3,3,2019-09-17,2019-10-03,thesis,-15.049969999999973,-0.027418785213916386
PODD,152.59,155.60001,3,2019-09-19,2019-10-04,trail,7.030029999999982,0.01972612884199476
UNG,86.2,75.52,5,2019-09-25,2019-10-10,thesis,-53.400000000000034,-0.12389791183294674
TNA,58.78,54.17,8,2019-09-25,2019-10-11,thesis,-36.879999999999995,-0.0784280367471929
PG,114.73,117.53,4,2019-07-26,2019-10-16,thesis,9.199999999999989,0.02440512507626602
BA,382.94,331.059998,1,2019-09-11,2019-10-21,thesis,-53.88000199999999,-0.1354781480127435
NAIL,45.88,71.050003,10,2019-06-28,2019-10-28,timeout,251.70003000000003,0.5486051220575414
WEC,92.8,92.44,5,2019-09-17,2019-10-29,thesis,-3.799999999999997,-0.00387931034482758
TMF,310.60001,270.79999,1,2019-09-24,2019-10-29,thesis,-39.80002000000002,-0.12813914590665987
KMB,137.22,133.67,3,2019-10-18,2019-10-30,thesis,-12.650000000000034,-0.0258708643054949
PODD,158.070007,145.32001,3,2019-10-07,2019-10-31,thesis,-40.24999100000002,-0.0806604443308464
NKE,90.81,89.48,5,2019-09-25,2019-11-06,thesis,-8.649999999999991,-0.014645964100869935
SLV,16.74,15.75,29,2019-09-16,2019-11-11,thesis,-28.709999999999955,-0.05913978494623651
TSM,43.83,53.42,10,2019-07-19,2019-11-18,timeout,93.90000000000003,0.21879990873830724
GPC,96.82,103.31,5,2019-10-14,2019-11-20,trail,30.450000000000045,0.06703160504028105
SOXL,11.84533,14.12133,42,2019-09-23,2019-11-21,trail,95.59199999999998,0.19214323281833434
GLW,30.51,29.02,16,2019-10-25,2019-11-22,thesis,-25.840000000000032,-0.04883644706653567
YINN,411.79999,362.60001,1,2019-11-07,2019-11-22,thesis,-49.19997999999998,-0.11947542786487197
UNG,82.92,71.84,6,2019-11-22,2019-12-02,thesis,-66.47999999999999,-0.13362276893391223
TECL,16.48,20.037001,29,2019-08-21,2019-12-03,trail,103.15302899999999,0.21583743932038835
EWY,56.34,57.43,8,2019-09-30,2019-12-03,thesis,8.71999999999997,0.01934682286119971
CVS,59.48,73.18,8,2019-08-28,2019-12-10,trail,107.60000000000008,0.2303295225285813
ODFL,55.23,62.003334,8,2019-08-16,2019-12-16,timeout,52.186672000000044,0.12263867463335165
DFEN,60.53,57.107,8,2019-11-07,2019-12-18,thesis,-27.384000000000015,-0.056550470840905365
USB,55.07,59.77,8,2019-10-18,2019-12-20,trail,35.60000000000002,0.08534592337025604
NAIL,69.78,67.52,7,2019-11-06,2019-12-23,thesis,-15.820000000000036,-0.03238750358268849
DFEN,60.58,59.5,8,2019-12-23,2019-12-24,thesis,-8.639999999999986,-0.017827665896335443
PODD,180.19,169.35001,2,2019-12-11,2019-12-30,thesis,-23.67998,-0.06015866585271101
CVS,74.26,72.11,6,2019-12-12,2020-01-10,thesis,-14.900000000000034,-0.028952329652572106
COPX,18.41,19.7,27,2019-11-04,2020-01-21,trail,34.82999999999998,0.07007061379684942
CAT,135.34,140.38,3,2019-10-23,2020-01-24,thesis,13.119999999999976,0.037239544850007356
LPLA,83.3,94.94,5,2019-11-01,2020-01-24,trail,56.2,0.13973589435774314
FAS,77.81,94.07,6,2019-10-15,2020-01-27,trail,97.55999999999995,0.2089705693355608
CVS,73.83,70.97,6,2020-01-14,2020-01-27,thesis,-19.159999999999997,-0.038737640525531636
WWD,113.6,117.3,4,2019-11-13,2020-01-29,thesis,12.800000000000011,0.03257042253521125
TNA,69.38,69.27,7,2019-12-12,2020-01-29,thesis,-0.769999999999996,-0.0015854713173825141
SBUX,87.92,85.84,5,2019-12-31,2020-01-30,thesis,-12.399999999999991,-0.023657870791628732
TECL,20.453,26.844,24,2019-12-05,2020-01-31,trail,153.38400000000004,0.3124724979220652
FAS,99.15,93.080002,5,2020-01-30,2020-01-31,thesis,-30.349990000000062,-0.061220353000504435
LPLA,95.62,90.9,5,2020-01-30,2020-02-03,thesis,-25.599999999999994,-0.049362058146831145
